sample_id,record_id,sentence_index,thread_title,parent_context,sentence_text,human_has_quad,human_aspect,human_opinion,human_category_label,human_sentiment_label,human_quads_json,annotator
SAMPLE_0055,n6c0ttf,2,How to run qwen3 coder 30ba3b the fastest,,Switching to thinking mode to plan the fix.,,,,,,,annotator_3
SAMPLE_0259,o8a001j,2,Qwen/Qwen3.5-9B · Hugging Face,,Python + webapp,,,,,,,annotator_3
SAMPLE_0082,nwv5c6a,0,I benchmarked 7 small llms on a 16gb laptop here,,"This list is as expected, Inrun a duplex set up with Llama and Gema, quantized, but they get the job done.",,,,,,,annotator_3
SAMPLE_0050,o7d6ol1,0,Qwen 35 35b a3b and 122b a10b solid performance,Why wouldn't you use the Q8 quants of the 35B model? It fits your vram,"I actually did used the Q8, look at the second result",,,,,,,annotator_3
SAMPLE_0189,n6lz0y0,0,Qwen code qwen coder 30b 3a is insane,,"Does anyone know if I can use this model as an agent locally with ollama, in CLI, because with the qwen CLI it asks me for API and I couldn't find a way to use it with the local model.",,,,,,,annotator_3
SAMPLE_0223,o200dkw,2,Kimi k25 launches unsloth quantisations coming,,7/MiniMax2.1 but still cheaper than Claude Haiku.,,,,,,,annotator_3
SAMPLE_0044,nm1r6fe,3,Which truly open ui do you use for inference,"now it's ComfyUI for images/videos generation i currently use SillyTavern as a UI for llama.cpp, i prefer my chats to be saved in the server, not browser. but it's really complicated and convoluted as a chat UI i haven't found another alternative that doesn't force you to use Pytorch and docker (OpenWebUI) or is bloated with RAG or other sorts of stuff that forces you to install tons of dependencies (Librechat).",[I made a comment about a year ago with a walkthrough of the UI]( for anyone that might want it.,,,,,,,annotator_3
SAMPLE_0209,npz4sva,1,Small language models for agentic use,,My deep research prompts always hit the free rate limits of all providers I have tested.,,,,,,,annotator_3
SAMPLE_0124,odgs8ns,1,What is the secret sauce claude has and why hasnt,,Not about the coding perf.,,,,,,,annotator_3
SAMPLE_0029,o1o1nq1,2,Should i invest in a beefy machine for local ai,"Yeah that's fair, I should've been clearer in my post. I'm upgrading my machine regardless - my M1 from 2020 is showing its age. So the real question isn't ""should I buy a new computer"" but rather ""since I'm buying one anyway, does it make sense to spend an extra to go from like a base M5 to a maxed out Studio to run local agents?""","If you're cool spending on your machine and keeping the subscription, do that.",,,,,,,annotator_3
SAMPLE_0033,n9z9ywn,0,Qwen 14b on a 3060 vllm,"The performance gap is smaller with the new [high-throughput mode]( but still wide. However, with just 16 GB of VRAM and not that much compute, maybe the difference is not much, even assuming that the amount of KV cache you want even fits. If you need to offload to CPU then most of the gains you would have with vllm probably vanish. How much simultaneous users do you expect? and how much context?","Hey, appreciate your help.",,,,,,,annotator_3
SAMPLE_0175,o4xd71i,0,Savelocalllama,,local llama fans are out here treating an open source community like it's a marvel character getting cancelled,,,,,,,annotator_3
SAMPLE_0287,o44a5in,0,Nemo 30b is insane 1m token ctx on one 3090,"Thank you for your response. if i get over 30 t/s i would be very happy. i have a laptop with i7-12800h, 16 GB vram a4500 rtx and 96 GB ddr5 4800mhz ram. Did you try Q5, Q6 or Q8 quants? if yes did you see huge quality difference with Q4? And lastly some say Nano is good for agentic coding and some say not. Did you use it for agentic coding?","No I did not try any other quants no for coding - I've got the new Qwen3-coding loaded up for coding (but I""m not a dev",,,,,,,annotator_3
