sample_id,record_id,sentence_index,thread_title,parent_context,sentence_text,human_has_quad,human_aspect,human_opinion,human_category_label,human_sentiment_label,human_quads_json,annotator
SAMPLE_0155,nou0m4k,0,Ive bought a rtx 6000 pro now what,I am not willing to use Comfy. I am just listing my background. I know that I can download LLM Studio or other UI and a few GGUFs. What I would like to know is what are the best models that can fit well in the 6000 or with a little help from extra RAM.,Comfy nodes for llm often use ollama or llama.cpp anyway,,,,,,,annotator_1
SAMPLE_0233,n3cxxjh,2,Alibababacked moonshot releases new kimi ai model,I would love to have 1TB VRAM and twice sys RAM. Absolutely LOVE to.,You would need 16 H200s.,,,,,,,annotator_1
SAMPLE_0059,nlekh4e,2,How to easily use a chatbot wrapper i made ollama,,abliterated by Mlabonne is the best abliterated model I’ve ever used.,,,,,,,annotator_1
SAMPLE_0248,nfrd816,0,2 new open source models from qwen today,,Guys for running 32b and 72b that kind of range what gpu you guys uses i need some suggestions here,,,,,,,annotator_1
SAMPLE_0045,nh3cbb1,2,Local model similar to chatgpt 4x,,"If those don't work, please turn them off and back on again.",,,,,,,annotator_1
SAMPLE_0027,n8bxwtz,4,Cheap coding assistant,"I like running local Qwen3 Coder 30B A3B in Claude Code. You can give it a try with OpenRouter and consider upgrading a PC to run it locally, I think it already meets a threshold for it to be considered a good open source alternative, it punches above expectations for sure. I run it locally with vLLM FP8, 120k context. Claude Code Router with custom transformer to make tool calls work.",Planning to build system next year.,,,,,,,annotator_1
SAMPLE_0284,n651rw1,1,Kimi k2 vs claude 4 sonnet unexpected review,I've had pretty good results using Claude code router with both k2 and glm45. Honestly can't tell the difference between those and sonnet when using Claude code. Did not have great results with the other coders.,"If you can paste the config file of CCR , that will be great.",,,,,,,annotator_1
SAMPLE_0048,n9jf5tk,5,When will lowcost chinese gpus hit the market,"I would appreciate it if you correct me if I'm wrong. I thought the MOE structure worked like this. Just loading the experts you need to the GPU was enough. And for example, if you use 5 experts from 4B instead of 20B model, I thought it would be faster than the 20B model but slower than the 4B model. If I'm wrong, I would appreciate it if you correct me.",MoE isn't free lunch.,,,,,,,annotator_1
SAMPLE_0078,nnjy7sr,0,Kimi 2 is the 1 creative writing ai right now,,I actually prefer GLM 4.6 to Sonnet 4.5 when used with the Claude Code CLI client.,,,,,,,annotator_1
SAMPLE_0116,n3uywk4,2,Support for exaone 40 model architecture has been,,I don't mind if the AI takes a long time to respond if its response is really high quality.,,,,,,,annotator_1
SAMPLE_0184,o3r6lka,4,Gemini pro is why measuring intelligence is hard,,"if you share your top 2–3 tasks, people here can recommend the best model for each.",,,,,,,annotator_1
SAMPLE_0012,o6emrfq,1,Kimi has context window expansion ambitions,,I asked do we need to mention death in ToS of a simple web app and it said >,,,,,,,annotator_1
SAMPLE_0168,ocq4wk9,0,Consolidated my homelab from 3 models down to one,"There really isn't a single person using the new Mistral small (I was hoping to finally see someone giving a usecase, lol).",I was using devstral small 24b until I swapped to qwen 3.5 27b beside because it's 2 x faster and 9/10 in coding and tool calling,,,,,,,annotator_1
SAMPLE_0220,nlrm5n1,1,Bad news dgx spark may have only half the,,It will handle anything below 400b@q8 and decent context - which is a large part of the open source models.,,,,,,,annotator_1
SAMPLE_0007,na28v58,1,What is gemma 3 270m actually used for,"I like this comment a lot, the small model is perfect at making coherent sentences and offering fine tune aligned knowledge. Assuming it to know things without proper fine-tune? lol However, getting it to generate coherent sentences based on a random query that it is specifically fine-tuned to know more about? Now that is powerful stuff.","For example, I might use it on a device that controls the lights, or sets the temperature on a thermostat?",,,,,,,annotator_1
SAMPLE_0125,o35fhlf,3,Im trying to understand if getting a used 3060,,"When it finishes loading, the 3060 might already be done generating even though it was 70% slower tok/s.",,,,,,,annotator_1
